118.	Spiller, Isaiah LAC RB	7.90	1.317	  	  	  	  	  	  	-0.50 	B 	3.40 	0.30 	3.70 	1.00 	  	0.00 	MIA	illmatic27	8
119.	Wilkins, Jordan FA RB	7.60	3.800	  	  	  	  	  	  	  	  	5.30 	2.30 	  	  	  	B 	BYE	FA	-
120.	Haskins, Hassan TEN RB	7.40	0.673	0.00 	5.20 	0.00 	0.00 	0.00 	B 	1.00 	0.00 	1.20 	0.00 	0.00 	0.00 	  	  	@NOS	FA	6
121.	McFarland, Anthony PIT RB	7.10	7.100	  	  	  	  	  	  	  	  	B 	  	  	7.10 	  	  	SFO	FA	9
122.	Nwangwu, Kene MIN RB	7.10	0.546	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	1.10 	6.00 	0.00 	0.00 	TBB	ansuperman	7
123.	Brown, Spencer CAR RB	6.80	3.400	  	  	  	  	  	  	  	2.70 	4.10 	  	  	  	B 	  	@ATL	FA	13
124.	Ebner, Trestan CHI RB	6.20	0.477	0.00 	0.00 	2.80 	2.30 	0.00 	0.00 	0.80 	-0.50 	0.00 	0.00 	0.80 	0.00 	0.00 	B 	GBP	FA	14
125.	Washington, Dwayne NOS RB	6.00	0.500	  	2.80 	0.00 	0.00 	0.00 	0.00 	0.00 	1.30 	1.90 	0.00 	0.00 	0.00 	0.00 	B 	TEN	FA	14
126.	Clement, Corey ARI RB	4.90	0.980	  	  	  	  	  	0.00 	0.00 	  	  	  	0.00 	1.80 	B 	3.10 	@WAS	Oparysh	13
127.	Jones, Ronald KCC RB	4.90	2.450	  	  	  	  	  	  	  	B 	  	  	  	4.90 	0.00 	  	@NYG	KWar	8
128.	Davis-Price, Tyrion SFO RB	4.70	1.567	  	4.30 	  	  	  	0.00 	0.40 	  	B 	  	  	  	  	  	@PIT	FC	9
129.	Vaughn, Ke'Shawn TBB RB	4.70	0.427	  	  	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.40 	2.30 	B 	2.00 	0.00 	0.00 	@MIN	Gonsales Monsters	11
130.	Johnson, D'Ernest CLE RB	4.40	0.400	  	  	0.00 	0.00 	0.00 	1.90 	0.00 	2.20 	B 	0.30 	0.00 	0.00 	0.00 	0.00 	@IND	Oparysh	9
131.	Burton, Michael KCC RB	3.80	0.292	0.00 	1.80 	0.70 	0.00 	0.00 	0.00 	0.00 	B 	1.40 	-0.10 	0.00 	0.00 	0.00 	0.00 	LVR	FA	8
