77.	Kieft, Ko TBB TE	26.00	1.625	0.00 	0.00 	0.00 	3.90 	0.00 	0.00 	3.80 	1.90 	1.60 	0.00 	B 	8.50 	3.20 	3.10 	0.00 	0.00 	0.00 	@MIN	FA	11
78.	Tomlinson, Eric DEN TE	25.60	1.600	0.00 	0.00 	0.00 	0.00 	0.00 	3.60 	5.10 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	3.10 	13.80 	0.00 	0.00 	BYE	FA	9
79.	Swaim, Geoff TEN TE	25.30	1.581	5.90 	0.00 	12.90 	0.00 	1.50 	B 	0.00 	0.00 	0.00 	0.00 	1.30 	0.00 	1.40 	0.00 	0.00 	0.90 	1.40 	BYE	FA	6
80.	Myarick, Chris NYG RB	24.50	1.531	8.10 	0.00 	1.60 	0.00 	1.40 	0.00 	6.10 	3.00 	B 	0.00 	0.00 	4.30 	0.00 	0.00 	0.00 	0.00 	0.00 	DAL	FA	9
81.	Hesse, Parker ATL TE	22.30	1.394	2.50 	2.50 	0.00 	4.20 	1.90 	0.00 	0.00 	2.90 	0.00 	0.00 	0.00 	1.90 	3.60 	B 	0.00 	2.80 	0.00 	CAR	FA	14
82.	Quitoriano, Teagan HOU TE	21.00	2.625	  	  	  	  	  	B 	  	  	8.20 	0.00 	0.00 	4.00 	0.00 	0.00 	8.80 	0.00 	  	@BAL	FA	6
83.	Ricci, Giovanni CAR RB	21.00	1.500	0.00 	3.60 	3.50 	0.00 	5.70 	0.00 	0.00 	0.00 	1.80 	1.20 	  	  	B 	0.00 	0.00 	0.00 	5.20 	@ATL	FA	13
84.	Firkser, Anthony ATL TE	20.90	2.090	1.60 	0.00 	4.20 	0.00 	3.10 	  	  	  	  	  	  	3.60 	5.40 	B 	0.00 	3.00 	0.00 	PHI	FA	14
85.	Cager, Lawrence NYG TE	18.90	3.150	0.00 	  	  	  	  	  	  	0.00 	B 	9.90 	5.00 	4.00 	  	  	0.00 	  	  	DAL	FA	9
86.	Rogers, Armani WAS TE	18.80	1.880	4.30 	0.00 	0.00 	0.00 	0.00 	0.00 	7.80 	3.30 	3.40 	0.00 	  	  	  	B 	  	  	  	ARI	FA (O)	14
87.	McKitty, Tre' LAC TE	17.20	1.075	5.40 	0.00 	0.00 	1.40 	0.00 	0.00 	0.00 	B 	0.00 	5.10 	0.00 	0.00 	1.80 	1.50 	0.00 	2.00 	0.00 	MIA	FA	8
88.	Calcaterra, Grant PHI TE	16.10	1.150	  	  	6.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	0.80 	2.90 	6.40 	0.00 	0.00 	0.00 	@NEP	FA	7
89.	Manhertz, Chris JAC TE	12.20	0.762	0.00 	0.00 	0.00 	1.00 	4.50 	0.00 	0.00 	0.90 	1.70 	0.00 	B 	0.00 	0.00 	4.10 	0.00 	0.00 	0.00 	LVR	FA	11
90.	Kroft, Tyler SFO TE	11.70	1.170	1.90 	0.00 	  	  	  	  	  	1.60 	B 	0.00 	0.00 	  	3.40 	0.00 	4.80 	0.00 	0.00 	@LAC	FA	9
91.	Bell, Blake KCC TE	9.70	4.850	  	  	  	  	  	  	  	B 	  	  	  	  	  	  	  	0.00 	9.70 	DET	FA	8
92.	Vannett, Nick NYG TE	8.70	1.087	  	  	1.50 	  	  	  	0.00 	1.80 	  	  	  	  	0.00 	1.90 	3.50 	0.00 	0.00 	BYE	FA	9
93.	Sullivan, Stephen CAR TE	8.60	0.662	  	3.30 	0.00 	0.00 	  	0.00 	0.00 	5.30 	  	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	@ATL	FA	13
94.	Farrell, Luke JAC TE	7.90	0.494	0.00 	0.00 	0.00 	0.00 	0.00 	3.10 	0.00 	0.00 	3.50 	0.00 	B 	0.00 	1.30 	0.00 	0.00 	0.00 	0.00 	@IND	FA	11
95.	Davis, Tyler GBP TE	7.60	0.475	1.30 	0.00 	5.60 	0.00 	0.70 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	@CHI	FA	14
96.	Ellefson, Ben MIN TE	7.60	1.900	1.20 	0.00 	6.40 	0.00 	  	  	B 	  	  	  	  	  	  	  	  	  	  	BYE	FA	7
97.	Griffin, Ryan CHI TE	7.60	0.543	0.00 	3.80 	  	  	1.10 	0.00 	1.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	1.20 	0.00 	BYE	FA	14
98.	Wesco, Trevon CHI TE	7.60	0.585	  	0.00 	0.00 	4.30 	0.00 	0.00 	0.00 	0.00 	2.00 	0.00 	0.00 	1.30 	0.00 	B 	  	  	0.00 	@NOS	FA	14
99.	Smartt, Stone LAC TE	6.70	1.117	  	  	  	  	  	  	  	B 	  	  	2.60 	0.00 	2.30 	1.80 	  	0.00 	0.00 	MIA	FA	8
100.	Blanton, Kendall FA TE	6.50	1.625	  	  	4.80 	1.70 	0.00 	0.00 	B 	  	  	  	  	  	  	  	  	  	  	DET	FA	-
101.	Turner, Cole WAS TE	5.30	0.589	  	  	  	  	0.00 	5.30 	0.00 	  	  	  	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	ARI	FA	14
102.	Rudolph, Kyle TBB TE	5.00	0.625	  	  	3.20 	  	0.00 	  	1.80 	0.00 	0.00 	  	B 	  	0.00 	  	  	0.00 	0.00 	BYE	FA (Q)	11
103.	Horsted, Jesper LVR TE	4.90	0.350	0.00 	0.00 	0.00 	0.00 	4.90 	B 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	  	  	0.00 	0.00 	0.00 	@DEN	FA	6
104.	Williams, Maxx ARI TE	4.80	0.480	0.00 	0.00 	0.00 	0.00 	  	  	  	  	  	  	1.70 	0.00 	B 	0.00 	3.10 	0.00 	0.00 	BYE	FA	13
105.	McKeon, Sean DAL TE	4.10	0.342	  	  	0.00 	  	  	3.00 	0.00 	0.00 	B 	1.10 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	@NYG	FA	9
106.	Anderson, Stephen ARI TE	3.90	0.260	0.00 	1.20 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	2.70 	0.00 	0.00 	  	BYE	FA	13
107.	Sweeney, Tommy BUF TE	2.70	0.540	0.00 	  	  	  	0.00 	2.70 	B 	  	  	  	  	  	0.00 	0.00 	  	  	  	DAL	FA	7
108.	Schreck, Mason HOU TE	2.60	0.867	  	  	  	1.00 	1.60 	B 	  	  	  	  	  	  	  	  	0.00 	  	  	@BAL	FA	6
109.	Asiasi, Devin CIN TE	2.50	0.208	  	  	0.00 	0.00 	  	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	0.00 	2.50 	  	@CLE	FA	10
110.	Sample, Drew CIN TE	1.80	0.900	1.20 	0.60 	  	  	  	  	  	  	  	B 	  	  	  	  	  	  	  	@CLE	FA	10
111.	Rodgers, Richard LAC TE	1.40	0.140	0.00 	0.00 	0.00 	0.00 	  	  	0.00 	B 	0.00 	1.40 	0.00 	0.00 	0.00 	  	  	  	  	BYE	FA (Q)	8
112.	Boyle, Nick FA TE	0.00	0.000	  	  	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	  	0.00 	0.00 	  	BYE	FA	-
113.	Carter, Cethan MIA TE	0.00	0.000	0.00 	  	  	  	  	  	  	  	  	  	B 	  	  	  	  	  	  	BYE	FA	11
114.	Conner, Tanner MIA TE	0.00	0.000	  	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	  	  	@LAC	FA	11
115.	Forristall, Miller NOS TE	0.00	0.000	  	  	0.00 	0.00 	  	  	  	0.00 	B 	0.00 	  	  	  	  	  	  	  	TEN	FA	14
116.	Franks, Feleipe ATL TE	0.00	0.000	  	  	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	  	  	0.00 	0.00 	B 	0.00 	0.00 	  	CAR	FA	14
117.	Hollister, Jacob FA TE	0.00	0.000	  	  	  	  	  	0.00 	B 	0.00 	  	0.00 	  	  	0.00 	0.00 	  	  	  	BYE	FA	-
118.	Jackson, Tyree PHI TE	0.00	0.000	  	  	  	  	  	  	B 	  	  	  	0.00 	0.00 	0.00 	0.00 	0.00 	  	  	@NEP	FA	7
119.	James, Jesse CLE TE	0.00	0.000	0.00 	0.00 	  	  	  	  	  	  	B 	  	  	  	  	  	  	  	  	TEN	FA	9
