107.	Sample, Drew CIN TE	1.80	0.900	1.20 	0.60 	  	  	  	  	  	  	  	B 	  	  	  	  	@CLE	FA	10
108.	Williams, Maxx ARI TE	1.70	0.243	0.00 	0.00 	0.00 	0.00 	  	  	  	  	  	  	1.70 	0.00 	B 	0.00 	BYE	FA	13
109.	Rodgers, Richard LAC TE	1.40	0.140	0.00 	0.00 	0.00 	0.00 	  	  	0.00 	B 	0.00 	1.40 	0.00 	0.00 	0.00 	  	BYE	FA (Q)	8
110.	Asiasi, Devin CIN TE	0.00	0.000	  	  	0.00 	0.00 	  	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	@CLE	FA	10
111.	Boyle, Nick FA TE	0.00	0.000	  	  	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	  	BYE	FA	-
112.	Carter, Cethan MIA TE	0.00	0.000	0.00 	  	  	  	  	  	  	  	  	  	B 	  	  	  	BYE	FA	11
113.	Conner, Tanner MIA TE	0.00	0.000	  	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	@LAC	FA	11
114.	Forristall, Miller NOS TE	0.00	0.000	  	  	0.00 	0.00 	  	  	  	0.00 	B 	0.00 	  	  	  	  	TEN	FA	14
115.	Franks, Feleipe ATL TE	0.00	0.000	  	  	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	  	  	0.00 	0.00 	B 	CAR	FA	14
116.	Hollister, Jacob FA TE	0.00	0.000	  	  	  	  	  	0.00 	B 	0.00 	  	0.00 	  	  	0.00 	0.00 	BYE	FA	-
117.	Jackson, Tyree PHI TE	0.00	0.000	  	  	  	  	  	  	B 	  	  	  	0.00 	0.00 	0.00 	0.00 	@NEP	FA	7
118.	James, Jesse CLE TE	0.00	0.000	0.00 	0.00 	  	  	  	  	  	  	B 	  	  	  	  	  	TEN	FA	9
119.	Long, Hunter MIA TE	0.00	0.000	0.00 	  	  	  	  	0.00 	0.00 	0.00 	0.00 	  	B 	  	  	  	@SEA	FA	11
120.	Muse, Nick MIN TE	0.00	0.000	  	  	  	  	0.00 	  	B 	  	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	TBB	FA	7
121.	Pinkney, Jared LAR TE	0.00	0.000	  	  	  	  	  	  	B 	  	0.00 	0.00 	  	  	  	  	BYE	FA	7
122.	Rader, Kevin TEN TE	0.00	0.000	  	  	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	  	0.00 	0.00 	0.00 	@NOS	FA	6
123.	Ruckert, Jeremy NYJ TE	0.00	0.000	  	0.00 	0.00 	0.00 	0.00 	  	  	0.00 	  	B 	0.00 	0.00 	  	0.00 	BUF	FA	10
124.	Togiai, Noah PHI TE	0.00	0.000	0.00 	0.00 	  	  	  	  	B 	  	  	  	  	  	  	  	@WAS	FA	7
125.	Tonges, Jake CHI TE	0.00	0.000	0.00 	  	0.00 	0.00 	  	  	  	  	  	  	  	  	  	B 	GBP	FA	14
126.	Winchester, James KCC TE	0.00	0.000	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	DET	FA	8
127.	Woerner, Charlie SFO TE	0.00	0.000	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	0.00 	0.00 	@PIT	FA	9
128.	Yeboah, Kenny NYJ TE	0.00	0.000	  	0.00 	  	  	  	0.00 	0.00 	  	0.00 	B 	  	  	0.00 	0.00 	BUF	FA	10
