130.	Shakir, Khalil BUF WR	30.80	2.800	  	0.00 	  	4.30 	21.50 	2.40 	B 	0.00 	0.00 	1.10 	0.00 	0.00 	1.50 	0.00 	@NYJ	ansuperman	7
131.	Toney, Kadarius KCC WR	30.50	6.100	2.80 	1.00 	  	  	  	  	  	  	2.70 	24.00 	0.00 	  	  	  	DET	FC	8
132.	Mims, Denzel NYJ WR	30.30	4.329	  	  	  	  	  	  	0.90 	14.60 	2.20 	B 	5.00 	1.60 	0.00 	6.00 	BUF	KWar	10
133.	Kennedy, Tom DET WR	26.60	3.800	  	  	  	13.40 	0.00 	B 	2.90 	  	2.60 	5.40 	2.30 	0.00 	  	  	@KCC	FA	6
134.	Rodgers, Amari HOU WR	25.50	2.125	0.00 	0.00 	0.00 	0.00 	0.00 	2.40 	0.90 	3.20 	0.00 	-2.00 	  	  	0.00 	21.00 	@BAL	GKC	6
135.	Jackson, DeSean FA WR	23.90	5.975	  	  	  	  	  	  	  	  	2.60 	B 	  	14.40 	2.00 	4.90 	BYE	FA (Q)	-
136.	Reagor, Jalen MIN WR	22.70	1.746	0.00 	3.40 	0.70 	0.00 	7.10 	0.00 	B 	0.00 	0.00 	0.00 	2.40 	3.50 	5.60 	0.00 	TBB	FA	7
137.	Wilson, Cedrick MIA WR	21.30	1.775	3.80 	0.00 	0.00 	  	3.50 	0.00 	0.00 	0.00 	4.30 	1.20 	B 	4.60 	0.00 	3.90 	@LAC	ansuperman	11
138.	Sills, David NYG WR	19.60	2.178	0.00 	6.20 	4.00 	1.00 	2.70 	1.80 	2.90 	1.00 	B 	  	  	  	0.00 	  	DAL	FA	9
139.	Perriman, Breshad TBB WR	19.40	2.156	-0.70 	13.00 	4.40 	  	  	0.00 	0.00 	2.10 	0.60 	0.00 	B 	0.00 	  	  	JAC	FA	11
