78.	Gallup, Michael DAL WR	101.40	7.800	  	  	  	10.40 	7.40 	2.80 	0.00 	8.40 	B 	6.50 	6.10 	15.80 	17.30 	6.00 	0.70 	13.10 	6.90 	@NYG	KWar	9
79.	Hardman, Mecole KCC WR	99.80	12.475	10.10 	7.00 	0.70 	0.90 	16.50 	13.20 	28.00 	B 	23.40 	  	  	  	  	  	  	  	  	BUF	Lesorub Magadan (Q)	8
80.	Moore, Elijah NYJ WR	99.50	6.633	8.90 	6.00 	8.40 	13.00 	2.10 	0.00 	  	0.00 	0.00 	B 	3.20 	19.00 	3.20 	15.50 	13.90 	3.00 	3.30 	CIN	KWar	10
81.	Westbrook-Ikhine, Nick TEN WR	99.20	6.200	2.30 	1.80 	7.00 	0.00 	13.70 	B 	0.00 	0.00 	0.00 	38.90 	4.80 	13.80 	0.90 	11.30 	0.00 	3.80 	0.90 	@NOS	GKC	6
82.	Hodgins, Isaiah NYG WR	98.70	9.870	  	  	  	  	7.10 	0.00 	B 	  	  	6.10 	3.40 	5.10 	14.90 	15.30 	6.70 	26.40 	13.70 	DAL	MH	9
83.	Moore, Rondale ARI WR	95.90	11.988	  	  	  	2.20 	15.60 	8.90 	4.10 	26.90 	17.90 	20.90 	-0.60 	  	B 	  	  	  	  	@WAS	illmatic27	13
84.	Goodwin, Marquise SEA WR	95.70	7.362	3.70 	0.00 	4.60 	0.00 	  	4.60 	27.20 	5.80 	  	11.30 	B 	8.50 	2.70 	24.80 	2.50 	0.00 	  	CIN	FA	11
85.	Robinson, Allen LAR WR	94.90	9.490	1.70 	20.30 	3.80 	1.70 	2.70 	22.30 	B 	14.40 	5.40 	7.90 	14.70 	  	  	  	  	  	  	SFO	Gonsales Monsters (Q)	7
86.	Sherfield, Trent MIA WR	92.70	5.794	1.30 	2.40 	1.00 	14.00 	1.00 	1.10 	6.90 	4.50 	4.70 	20.80 	B 	5.30 	19.50 	1.20 	0.00 	4.50 	4.50 	@NYJ	PGs	11
87.	Bourne, Kendrick NEP WR	89.80	5.987	5.10 	3.60 	14.30 	6.30 	0.50 	2.70 	  	0.00 	2.70 	B 	1.30 	4.90 	2.50 	8.20 	0.00 	34.90 	2.80 	PHI	Snusmumrik's Minions	10
88.	Cobb, Randall GBP WR	87.10	7.258	3.40 	6.20 	12.70 	6.70 	20.40 	1.30 	  	  	  	  	16.80 	9.40 	0.00 	B 	5.70 	1.00 	3.50 	BUF	ansuperman (O)	14
89.	Skowronek, Ben LAR WR	83.30	5.950	5.50 	2.60 	14.60 	5.30 	7.60 	15.70 	B 	2.00 	0.00 	2.40 	0.90 	1.50 	4.50 	19.90 	0.80 	  	  	@SEA	ansuperman (Q)	7
90.	Watkins, Quez PHI WR	81.60	5.100	0.00 	19.40 	0.00 	0.00 	3.40 	0.20 	B 	0.00 	4.00 	14.00 	11.10 	11.50 	7.70 	4.40 	3.00 	2.90 	0.00 	@NEP	NDAK	7
91.	Agholor, Nelson NEP WR	80.70	5.380	2.80 	31.50 	3.60 	7.10 	0.00 	  	0.00 	0.70 	0.00 	B 	2.80 	21.50 	3.20 	6.70 	0.80 	0.00 	0.00 	HOU	Oparysh	10
92.	Jennings, Jauan SFO WR	80.10	5.340	14.20 	0.90 	1.50 	4.20 	6.50 	2.80 	4.40 	  	B 	7.50 	0.00 	16.40 	5.40 	1.00 	5.60 	3.60 	6.10 	@PIT	NDAK	9
93.	Jones, Julio TBB WR	76.90	7.690	17.10 	  	  	1.70 	  	  	  	9.60 	4.80 	19.30 	B 	8.00 	4.80 	7.30 	  	1.00 	3.30 	BYE	БЕСЫ	11
94.	Agnew, Jamal JAC WR	74.50	5.321	1.70 	0.10 	2.70 	26.00 	0.30 	3.40 	  	  	0.00 	1.90 	B 	13.20 	2.80 	6.90 	13.90 	1.30 	0.30 	@IND	KWar	11
95.	Jefferson, Van LAR WR	72.80	7.280	  	  	  	  	  	  	B 	0.00 	0.00 	11.70 	6.60 	11.40 	5.90 	12.40 	5.20 	3.90 	15.70 	@SEA	Snusmumrik's Minions	7
96.	Shenault, Laviska CAR WR	72.80	6.067	  	  	22.00 	0.00 	  	  	1.30 	5.60 	0.60 	13.90 	2.70 	4.10 	B 	6.80 	0.00 	12.30 	3.50 	@ATL	illmatic27	13
97.	Bateman, Rashod BAL WR	69.50	11.583	18.40 	30.30 	10.40 	3.70 	  	  	6.70 	0.00 	  	B 	  	  	  	  	  	  	  	HOU	PGs (Q)	10
98.	Pettis, Dante CHI WR	67.80	4.237	17.10 	0.00 	0.00 	0.00 	0.00 	22.90 	4.10 	3.80 	2.20 	2.70 	0.00 	2.20 	1.90 	B 	2.30 	8.60 	0.00 	GBP	FA	14
99.	Smith, Shi CAR WR	67.60	4.225	2.20 	0.70 	3.70 	0.00 	14.90 	0.00 	0.00 	0.00 	3.00 	2.70 	3.60 	0.00 	B 	9.20 	3.40 	2.70 	21.50 	@ATL	FA	13
100.	McCloud, Ray-Ray SFO WR	67.10	4.194	3.00 	2.60 	2.10 	1.10 	0.00 	0.00 	21.50 	1.60 	B 	4.30 	0.00 	1.70 	0.00 	2.80 	2.60 	18.60 	5.20 	@PIT	FA	9
101.	St. Brown, Equanimeous CHI WR	66.40	4.427	8.80 	5.40 	7.80 	0.90 	3.90 	0.10 	8.80 	1.10 	0.00 	1.40 	4.40 	1.20 	16.10 	B 	3.00 	  	3.50 	GBP	Snusmumrik's Minions	14
102.	Thornton, Tyquan NEP WR	65.50	5.458	  	  	  	  	1.70 	21.30 	2.90 	2.30 	1.00 	B 	1.00 	0.00 	5.10 	5.80 	3.10 	1.30 	20.00 	PHI	PGs	10
103.	Irwin, Trenton CIN WR	65.00	8.125	  	  	  	  	  	  	  	4.20 	4.00 	B 	12.70 	2.60 	1.70 	18.80 	1.50 	19.50 	  	@CLE	Gonsales Monsters	10
104.	Byrd, Damiere ATL WR	64.30	4.946	  	  	  	0.00 	0.00 	0.00 	19.50 	20.20 	0.00 	13.80 	4.90 	0.00 	1.70 	B 	0.00 	2.00 	2.20 	@ATL	FA	14
105.	Smith, Tre'Quan NOS WR	64.20	4.586	  	  	24.50 	2.80 	2.00 	13.30 	14.90 	0.00 	5.40 	0.00 	0.00 	1.30 	0.00 	B 	0.00 	0.00 	0.00 	TEN	Lesorub Magadan	14
106.	Atwell, Tutu LAR WR	63.90	5.325	0.00 	0.00 	0.00 	  	11.40 	0.90 	B 	  	  	  	18.20 	4.30 	9.60 	13.00 	1.60 	2.90 	2.00 	@SEA	БЕСЫ	7
107.	Landry, Jarvis NOS WR	63.70	7.078	26.90 	4.50 	3.70 	3.70 	  	  	  	  	  	6.20 	12.30 	3.50 	2.90 	B 	0.00 	  	  	BYE	NDAK (Q)	14
108.	Renfrow, Hunter LVR WR	62.70	6.967	4.60 	13.90 	  	  	5.00 	B 	13.50 	1.10 	4.60 	  	  	  	  	  	2.40 	13.70 	3.90 	@DEN	Oparysh	6
109.	Anderson, Robbie ARI WR	62.20	3.888	29.20 	3.20 	2.40 	4.60 	4.20 	0.00 	0.00 	0.00 	0.10 	0.00 	0.00 	2.70 	B 	13.50 	0.00 	0.00 	2.30 	@LAC	FA	13
110.	Hinton, Kendall DEN WR	61.90	5.158	  	3.00 	3.70 	5.40 	  	1.30 	2.40 	0.00 	B 	14.20 	13.70 	8.30 	2.10 	7.80 	  	  	0.00 	LVR	FA (Q)	9
111.	Robinson, Wan'Dale NYG WR	61.60	10.267	1.50 	  	  	  	  	12.70 	14.00 	2.50 	B 	3.50 	27.40 	  	  	  	  	  	  	DAL	БЕСЫ (Q)	9
112.	Thomas, Michael NOS WR	59.60	19.867	27.20 	23.50 	8.90 	  	  	  	  	  	  	  	  	  	  	B 	  	  	  	TEN	illmatic27 (Q)	14
113.	Watson, Justin KCC WR	59.30	3.706	0.00 	17.50 	0.00 	0.00 	2.00 	0.00 	7.40 	B 	5.20 	2.20 	14.20 	4.60 	2.50 	0.00 	0.00 	0.00 	3.70 	DET	Gonsales Monsters	8
